asset,q,c,log_likelihood,delta_ll_vs_zero,ks_statistic,pit_ks_pvalue,calibration_warning,mean_drift_var,mean_posterior_unc,n_obs,fallback_reason,timestamp
EMR,2.9561539264794514e-09,0.8484493104153025,7880.222085736748,-4.149372977552957,0.027149407487350063,0.034021298926384946,True,4.6607064870757867e-07,9.508060309980676e-07,2751,,2026-01-09T15:25:07Z
FDX,1.0360486509755091e-08,0.686869573498309,7552.289029484292,-3.8013776749075987,0.019319802992924073,0.2527348159850963,False,8.32179795883051e-07,1.4492931842663657e-06,2751,,2026-01-09T15:25:39Z
MMM,1.0535933530643911e-08,0.735630063881893,8217.14910991112,-3.431776018189339,0.025774907761857757,0.05081667776401233,False,7.304500473566966e-07,1.2369920519600657e-06,2751,,2026-01-09T15:26:11Z
UBER,5.012717358674327e-08,0.8619246330966073,3685.9202140800176,-3.877877660420836,0.01405686136399209,0.8943091914093688,False,4.071613983140953e-06,6.7100375522862895e-06,1656,,2026-01-09T15:26:29Z
UNP,5.67963773010706e-09,0.8530281815433379,8048.92079105963,-6.240974166362321,0.017887145031867557,0.338226613222656,False,6.607264440531283e-07,1.2175238058127928e-06,2751,,2026-01-09T15:26:58Z
UPS,1.0562638239597729e-08,0.7157462551896433,8087.168228092707,-8.872022207049667,0.02363909869354619,0.090954351985013,False,4.154497395292973e-07,1.3910861541606109e-06,2751,,2026-01-09T15:27:28Z
ACHR,1.5644005372923748e-07,0.878243034778129,2305.432643197023,-6.688516074002109,0.04459423339010338,0.013493489835436686,True,9.38371060644342e-06,1.5132175768346279e-05,1249,,2026-01-09T15:27:42Z
AIR,5.263463699400419e-09,0.7677184107109072,6940.672314080051,-1.5692369492135185,0.022013087995299996,0.13696094572196238,False,1.1129182720325025e-06,1.4895580702225518e-06,2751,,2026-01-09T15:28:10Z
AIRI,2.338350222960269e-08,0.6846107309275399,5380.99935415048,-0.1930523774390167,0.036413925296774674,0.0013225306973178555,True,5.15967924832571e-06,4.33926034582086e-06,2751,,2026-01-09T15:28:41Z
AOUT,4.5713341937105365e-08,0.8408777892653028,2894.5467733283926,-2.522851888103105,0.02335511451000649,0.45488189913089794,False,5.160512920877991e-06,7.971710554582958e-06,1332,,2026-01-09T15:28:57Z
ASTC,1.1615568668744915e-08,0.6693693668200635,5044.354898857826,8.408584640804293,0.042650585932654805,8.721980532059322e-05,True,1.2095266172727856e-05,3.789857187223497e-06,2751,,2026-01-09T15:29:41Z
ATI,3.269722416690069e-08,0.8021455473921966,6080.901766445046,-2.2112174543835863,0.017981257022692182,0.3320704898234528,False,4.6948535559051605e-06,4.968165866111654e-06,2751,,2026-01-09T15:30:12Z
ATRO,1.914272417847054e-08,0.7009998336946461,6126.6118618305,-0.34321657424152363,0.020812899770725313,0.18179852485933767,False,3.521001253435956e-06,3.3717242776691905e-06,2751,,2026-01-09T15:30:43Z
